product_title,positive_rate
"How to Make Perfume at Home: DIY Scents for Perfume, Cologne, Deodorant, Beauty Balm, Essential Oils, Body Splash - Includes 14 Unique Aromatherapy Recipes",0.9
How to Make Perfume with Essential Oils: The Beginner Guide to Crafting Your Homemade Fragrances,0.5
"How to Make Perfume, Cologne and Eau de toilette",0.5
"Huron Aluminum-Free Deodorant for Men - Clean & Woody Scent of Sandalwood, Black Pepper, Cedarwood, & Amber - Neutralizes Odor for All-Day Protection - Non-Irritating - 3 Oz",0.6382978723404256
In Search of Perfumes: A Lifetime Journey to the Source of Nature's Scents,1.0
JAFRA Tender Moments Fresh Baby Cologne,0.78
"Jaguar Classic Black, 3.40 Ounce",0.8
Jitterbug Perfume: A Novel,0.87
Jo Malone Lime Basil Mandarin by Jo Malone for Unisex - 3.4 oz Cologne Spray ( Pack May Vary ),0.684931506849315
"Jo Malone Wood Sage & Sea Salt Cologne Spray for Women, 1 Ounce",0.69
"KHADLAJ PERFUMES Hareem Al Sultan Gold Concentrated Perfume Oil for Unisex, 1.18 Ounce",0.86
Khamrah | Eau De Parfum 100ml | Maison Alhambra,0.78
Kuumba Made Vanilla Bean Fragrance Oil 0.5 fl oz (15ml) | Alcohol Free,0.74
Kuumba Made Vanilla Bean Fragrance Oil Roll-On 0.125 fl oz (3.7ml) | Rollerball Perfume | Alcohol Free,0.9
"L'OCCITANE Roll-On Aluminum Free Deodorant, 1.6 Fl. Oz: Reduce Body Odor, Fresh Lavender Scent, Refreshing Verbena, Without Alcohol and Aluminum Salts, Made in France",0.72
"L'OCCITANE Solid Stick Aluminum Free Deodorant: Reduce Body Odor, Alcohol-Free, Dries Quickly, Made in France, Fresh Cyper and Lavender Scent, Woody Aroma, Refreshing Verbena",0.72
"L'OCCITANE The Incredible Deodorant Recipe, Aluminum Free Deodorant, 1.7 oz.",0.5681818181818182
L'Occitane Eau De Cedrat Stick Deodorant 2.60 oz,0.6506024096385542
"LISAPACK 8ML Atomizer Perfume Spray Bottle for Travel (3 PCS) Empty Cologne Dispenser, Portable Sprayer (Black)",0.75
LISAPACK Perfume Travel Refillable Bottle: Atomizer Cologne Spray for Men Portable - Mini Sprayer Empty for Refill - Small Size Black 8ML Striped,0.7733333333333333
"Lallisa 100 Pcs Mini Spray Bottles Clear Glass Perfume Bottles Refillable Fine Mist Spray Empty Fragrance Sample Containers Cosmetics Atomizer for Cleaning, travel, essential Oils(3ml)",0.6111111111111112
"Lancôme La Vie Est Belle Eau de Parfum - Long Lasting Fragrance with Notes of Iris, Earthy Patchouli, Warm Vanilla & Spun Sugar - Floral & Sweet Women's Perfume",0.8383838383838383
Lattafa 4 Piece Set Eau De Parfum Spray for Women (3.4 Ounce Yara + 3.4 Ounce Yara Moi + 3.4 Ounce Yara Tous + 3.4 Ounce Yara Candy),0.8
"Lattafa Asad Bourbon for Unisex Eau de Parfum Spray, 3.4 Ounce / 100 ml",0.83
"Lattafa Bade'e Al Oud Sublime - Tropical, Fruity, Fresh, Vanilla - Eau de Parfum Long-Lasting Fragrance for Unisex, 3.40 Ounce / 100 ml",0.75
"Lattafa Khamrah - Vanilla, Warm Spicy, Amber, Cinnamon - Eau de Parfum Long-Lasting Fragrance for Unisex, 3.40 Ounce / 100 ml",0.9
"Lattafa Perfumes Asad for Unisex Eau de Parfum Spray, 3.4 Ounce",0.8282828282828283
